Posi��o no dep�sito;Tipo de dep�sito;Corr.pos.dep.;Col.posi��o dep�sito;N�vel da posi��o;Subdiv.pos.dep.;Bloq.entr.dep�sito;Bloq.sa�da depos.;Estrutura;Tipo;Qtd. Caixas BIN ABASTECIMENTO;Desc_Tp;Desc_tipo_knapp
M70311020103;M700;M703;11;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020102;M700;M703;11;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70311020101;M700;M703;11;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020505;M700;M703;10;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020504;M700;M703;10;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020503;M700;M703;10;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020502;M700;M703;10;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020501;M700;M703;10;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020405;M700;M703;10;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020404;M700;M703;10;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020403;M700;M703;10;04;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020402;M700;M703;10;04;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020401;M700;M703;10;04;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020305;M700;M703;10;03;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020304;M700;M703;10;03;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020303;M700;M703;10;03;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020302;M700;M703;10;03;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020301;M700;M703;10;03;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020205;M700;M703;10;02;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020204;M700;M703;10;02;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020203;M700;M703;10;02;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020202;M700;M703;10;02;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020201;M700;M703;10;02;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020105;M700;M703;10;01;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020104;M700;M703;10;01;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020103;M700;M703;10;01;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020102;M700;M703;10;01;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70310020101;M700;M703;10;01;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020505;M700;M703;09;05;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020504;M700;M703;09;05;04;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020503;M700;M703;09;05;03;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020502;M700;M703;09;05;02;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020501;M700;M703;09;05;01;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020405;M700;M703;09;04;05;;;Controlados;Estanteria;2;Estanteria;B2ES
M70309020404;M700;M703;09;04;04;;;Controlados;Estanteria;2;Estanteria;B2ES
